Employee_ID,Cluster_label,age
57,0,34
58,4,29
59,4,31
60,4,31
61,2,41
62,2,40
63,0,33
64,4,26
65,0,34
66,0,29
67,4,27
68,0,31
69,0,31
70,0,34
71,4,26
72,1,34
73,1,33
74,0,28
75,1,38
76,1,33
77,1,36
78,1,38
79,1,34
80,0,29
81,0,31
82,4,27
83,4,26
84,4,28
85,0,33
86,4,29
87,4,30
88,4,26
89,4,32
90,3,30
91,3,34
92,4,31
93,4,23
94,0,31
95,4,25
96,4,30
97,4,26
98,4,30
99,4,28
100,3,34
101,3,33
102,3,31
103,1,34
104,3,36
105,3,32
106,3,36
107,3,33
108,4,30
109,0,28
110,0,28
111,4,26
112,0,31
113,4,27
114,0,33
115,1,39
116,1,34
117,1,33
118,1,37
119,1,38
120,3,35
121,1,38
122,3,31
123,0,31
124,3,35
125,3,33
126,1,31
127,0,30
128,3,33
129,3,37
130,3,30
131,3,34
132,3,27
133,3,29
134,3,31
135,3,36
136,3,36
137,3,36
138,3,28
139,3,32
140,3,32
141,3,32
142,3,35
143,3,32
144,3,33
145,3,31
146,0,25
147,3,32
148,4,26
149,1,40
150,3,30
151,0,32
152,4,28
153,0,28
154,0,31
155,4,24
156,2,35
