Feature,Weight
Employee_Annual_Salary,0.16603364909228602
Monthly_Medical_contribution,-0.013215601153490077
Monthly_Dental_Contribution,-0.013215601153490077
Monthly_Vision_Contribution,-0.013215601153490077
Bonus,0.24339353182248255
Years_Of_Service,0.7146682409625671
Employee_HR_rate,0.23390571983763567
Hours_per_week,0.0
Years_Since_Last_Promotion,1.1890802173916384
age,0.027959651636272457
Current_Role_Design Director,-0.014081201188317861
Current_Role_Director of HR,0.0
Current_Role_Director of Operations,0.28634735167077996
Current_Role_Director of Product,-0.2613257800263055
Current_Role_Engineering Manager,-0.030335139904203706
Current_Role_Lead Product Manager,0.0
Current_Role_Principal Engineer,0.07099570190927444
Current_Role_Principal Product Designer,-0.0456140745168975
Current_Role_Principal Product Manager,-0.14171671713328002
Current_Role_Principal Software Engineer,0.15317961970547933
Current_Role_Product Director,0.0
Current_Role_Sales Director,-0.10309105539066908
Current_Role_Technical Director,0.08544447384139493
Department_Design,-0.05969527570521537
Department_Engineering,0.279284655551945
Department_Human Resources,0.0
Department_Operations,0.28634735167077996
Department_Product,-0.40304249715958557
Department_Sales,-0.10309105539066908
Gender_Female,-0.1806901941128778
Gender_Male,0.18049337308013275
